x,y,theta,kappa,arc_length
-3.574000000000000199e+01,-3.209899999999999665e+01,-1.210716471149664519e+00,1.003314367004910779e-03,1.556145558744425950e+00
-3.515500000000000114e+01,-3.354099999999999682e+01,-1.157947380716642716e+00,1.263266050839718588e-03,1.448406365630867443e+00
-3.453499999999999659e+01,-3.485000000000000142e+01,-1.095913235536127184e+00,1.617621370175570394e-03,1.339506252318363844e+00
-3.388100000000000023e+01,-3.601899999999999835e+01,-1.022044241564130207e+00,2.095193894016789821e-03,1.235321820417663474e+00
-3.319299999999999784e+01,-3.704500000000000171e+01,-9.337124228278655957e-01,2.724374413533275224e-03,1.136100787782490462e+00
-3.247200000000000131e+01,-3.792300000000000182e+01,-8.278912316598584509e-01,3.525426379466902252e-03,1.048093507278813563e+00
-3.171799999999999997e+01,-3.865100000000000335e+01,-7.017907039071435982e-01,4.483693258830854719e-03,9.718816800413476731e-01
-3.093299999999999983e+01,-3.922399999999999665e+01,-5.533608120314981171e-01,5.450894262739079156e-03,9.159213940071504467e-01
-3.011700000000000088e+01,-3.964000000000000057e+01,-3.857858311666484963e-01,6.187559351987430983e-03,8.847581590468664992e-01
-2.927100000000000080e+01,-3.989900000000000091e+01,-2.056506155235794109e-01,6.485155189901454197e-03,8.806957476904270221e-01
-2.839600000000000080e+01,-3.999900000000000233e+01,-2.248075397169007131e-02,6.205594612861877607e-03,9.059889624051720158e-01
-2.749200000000000088e+01,-3.993900000000000006e+01,1.508879735624886198e-01,5.434742628659574269e-03,9.564109995185136048e-01
-2.656099999999999994e+01,-3.971999999999999886e+01,3.057774720947096236e-01,4.458814562175767056e-03,1.028580575356154547e+00
-2.560399999999999920e+01,-3.934300000000000352e+01,4.394453239231383979e-01,3.493984979015961508e-03,1.119157719001216078e+00
-2.462099999999999866e+01,-3.880799999999999983e+01,5.508419061944209716e-01,2.667754741854183598e-03,1.220413044833593030e+00
-2.361299999999999955e+01,-3.811999999999999744e+01,6.434226343368779633e-01,2.039620345051878364e-03,1.330504415625888726e+00
-2.258200000000000074e+01,-3.727900000000000347e+01,7.208646538046630248e-01,1.557824467338824945e-03,1.445305849984703128e+00
-2.152899999999999991e+01,-3.628900000000000148e+01,7.844574299026157993e-01,1.188649236266028399e-03,1.562555918999380733e+00
-2.045400000000000063e+01,-3.515500000000000114e+01,8.373391705219768166e-01,9.225446136397951954e-04,1.679911009547827128e+00
-1.935900000000000176e+01,-3.388100000000000023e+01,8.817674330873465083e-01,7.260005445842605820e-04,1.796804385569002571e+00
-1.824399999999999977e+01,-3.247200000000000131e+01,9.193109250020878864e-01,5.781389894492722573e-04,1.911075613365416537e+00
-1.711100000000000065e+01,-3.093299999999999983e+01,9.512564379965051664e-01,4.643505773928710209e-04,2.021074961499448541e+00
-1.596100000000000030e+01,-2.927100000000000080e+01,9.783805121795952076e-01,3.761804478168038687e-04,2.127062998596891852e+00
-1.479499999999999993e+01,-2.749200000000000088e+01,1.001653399834187219e+00,3.078758980028413472e-04,2.226419547165359614e+00
-1.361500000000000021e+01,-2.560399999999999920e+01,1.021590236646903849e+00,2.508424353140619595e-04,2.321576404084087386e+00
-1.242099999999999937e+01,-2.361299999999999955e+01,1.038354030576672971e+00,2.058096024454775588e-04,2.408299192376228692e+00
-1.121400000000000041e+01,-2.152899999999999991e+01,1.052866202221117709e+00,1.717787080842188979e-04,2.487968850287316958e+00
-9.996999999999999886e+00,-1.935900000000000176e+01,1.065332845086240265e+00,1.405872593956327549e-04,2.561540161699598084e+00
-8.769000000000000128e+00,-1.711100000000000065e+01,1.075588425067738108e+00,1.149021245677077710e-04,2.625647539179622125e+00
-7.532000000000000028e+00,-1.479499999999999993e+01,1.084387050848390599e+00,9.362021082129096811e-05,2.679724799303093263e+00
-6.288999999999999702e+00,-1.242099999999999937e+01,1.091434544054666667e+00,7.398320394917841381e-05,2.727778766689116452e+00
-5.038000000000000256e+00,-9.996999999999999886e+00,1.097136027338233122e+00,5.815382862917311407e-05,2.766089297184745721e+00
-3.782999999999999918e+00,-7.532000000000000028e+00,1.101598581733415738e+00,4.225902913885040690e-05,2.793763948511040152e+00
-2.524000000000000021e+00,-5.038000000000000256e+00,1.104596074965746189e+00,2.675542010263480541e-05,2.812528577632590121e+00
-1.262999999999999901e+00,-2.524000000000000021e+00,1.106355067167074990e+00,1.252903368387497246e-05,2.822365142925344461e+00
-0.000000000000000000e+00,-0.000000000000000000e+00,1.106831810816900408e+00,5.333330646341753899e-06,2.822365142925344461e+00
